trip,date,location,tyres,temperature_start_c,temperature_end_c,distance_km,duration_minutes,average_speed_kmh,average_consumption_kwhkm,charge_level_start,charge_level_end,ac_c,heated_front_seats_level,mode
1,2021-02-08,Istanbul,Bridgestone 215/45 R20 LM32,14.0,17.5,31,35,53,14.3,81.0,73.0,OFF,0,ECO
2,2021-02-08,Istanbul,Bridgestone 215/45 R20 LM32,19.5,19.0,32,52,37,14.0,73.0,65.0,OFF,0,ECO
3,2021-02-10,Istanbul,Bridgestone 215/45 R20 LM32,15.0,12.5,31,37,51,17.2,81.0,72.0,22,0,COMFORT
4,2021-02-11,Istanbul,Bridgestone 215/45 R20 LM32,16.0,14.5,31,31,61,14.5,81.0,72.0,OFF,0,COMFORT
5,2021-02-11,Istanbul,Bridgestone 215/45 R20 LM32,18.0,18.0,28,99,18,15.1,72.0,,OFF,0,ECO
6,2021-02-12,Istanbul,Bridgestone 215/45 R20 LM32,15.5,3.5,31,37,50,19.6,81.0,71.0,22,0,ECO
7,2021-02-12,Istanbul,Bridgestone 215/45 R20 LM32,3.0,5.5,31,38,50,18.7,70.0,59.0,22,1,ECO
8,2021-02-15,Istanbul,Bridgestone 215/45 R20 LM32,11.5,1.5,31,34,54,20.9,80.0,68.0,22,1,ECO
9,2021-02-15,Istanbul,Bridgestone 215/45 R20 LM32,2.0,4.0,31,30,64,24.4,68.0,54.0,22,0,ECO
10,2021-02-16,Istanbul,Bridgestone 215/45 R20 LM32,10.5,1.0,31,34,54,18.5,81.0,71.0,22,0,ECO
11,2021-02-16,Istanbul,Bridgestone 215/45 R20 LM32,1.5,1.5,30,42,43,25.0,71.0,57.0,22,0,ECO
12,2021-02-16,Istanbul,Bridgestone 215/45 R20 LM32,1.5,3.0,1,6,18,15.8,57.0,56.0,22,0,ECO
13,2021-02-19,Istanbul,Bridgestone 215/45 R20 LM32,9.5,4.5,31,34,54,17.3,78.0,68.0,22,0,ECO
14,2021-02-19,Istanbul,Bridgestone 215/45 R20 LM32,5.0,6.5,31,31,62,17.9,68.0,57.0,OFF,2,ECO
