battery_drain,charge_level_start,is_bridgestone_tyre,temperature_start_c,temperature_increase,distance_km,average_speed_kmh,average_consumption_kwhkm,ac_use,heated_seats,eco_mode,is_summer
8.0,81.0,1,14.0,3.5,31,53,14.3,0,0,1,0
8.0,73.0,1,19.5,-0.5,32,37,14.0,0,0,1,0
9.0,81.0,1,15.0,-2.5,31,51,17.2,1,0,0,0
9.0,81.0,1,16.0,-1.5,31,61,14.5,0,0,0,0
10.0,81.0,1,15.5,-12.0,31,50,19.6,1,0,1,0
11.0,70.0,1,3.0,2.5,31,50,18.7,1,1,1,0
12.0,80.0,1,11.5,-10.0,31,54,20.9,1,1,1,0
14.0,68.0,1,2.0,2.0,31,64,24.4,1,0,1,0
10.0,81.0,1,10.5,-9.5,31,54,18.5,1,0,1,0
14.0,71.0,1,1.5,0.0,30,43,25.0,1,0,1,0
1.0,57.0,1,1.5,1.5,1,18,15.8,1,0,1,0
10.0,78.0,1,9.5,-5.0,31,54,17.3,1,0,1,0
11.0,68.0,1,5.0,1.5,31,62,17.9,0,1,1,0
9.0,81.0,1,8.5,-3.0,31,54,17.0,1,0,1,0
8.0,72.0,1,14.0,-1.0,32,28,13.9,0,0,1,0
10.0,76.0,1,9.5,-1.5,31,53,17.4,1,0,1,0
9.0,81.0,1,11.0,-3.5,31,51,17.6,1,0,1,0
9.0,72.0,1,12.0,-1.0,31,37,14.9,0,0,1,0
10.0,81.0,1,9.0,-2.5,31,56,18.1,1,0,1,0
8.0,71.0,1,14.5,1.0,31,56,13.2,0,0,1,0
11.0,61.0,1,9.0,-3.5,31,44,19.1,1,1,1,0
10.0,50.0,1,9.0,0.5,31,46,15.1,0,0,1,0
8.0,81.0,1,10.5,-5.0,31,49,15.1,0,1,1,0
21.0,73.0,1,6.0,1.0,36,14,30.3,1,1,1,0
9.0,81.0,1,8.5,-4.0,31,51,17.0,1,1,1,0
14.0,72.0,1,9.0,0.5,38,25,19.0,1,0,1,0
7.0,81.0,1,8.5,-3.5,31,55,14.1,0,0,1,0
9.0,74.0,1,11.5,-0.5,33,25,15.1,0,0,1,0
8.0,71.0,1,16.0,0.5,32,56,13.4,1,0,1,0
9.0,81.0,1,10.5,-6.5,31,43,17.2,1,0,1,0
5.0,61.0,1,9.0,0.0,12,21,17.2,1,1,1,0
10.0,55.0,1,10.0,-2.5,31,50,16.9,1,0,1,0
8.0,39.0,1,11.0,0.0,29,30,15.2,0,0,1,0
8.0,81.0,1,11.0,-2.5,31,51,14.4,0,0,1,0
6.0,66.0,1,15.0,-5.0,19,23,16.7,0,0,1,0
9.0,81.0,1,12.0,-5.0,31,43,15.9,0,1,1,0
9.0,81.0,1,11.0,-5.5,31,58,16.9,1,0,1,0
7.0,81.0,1,12.5,0.5,31,50,13.6,0,0,1,0
8.0,74.0,1,18.5,-0.5,31,39,14.6,0,0,1,0
8.0,81.0,1,12.5,-0.5,31,51,14.3,0,0,1,0
7.0,73.0,1,11.0,1.5,32,35,14.5,0,0,1,0
10.0,81.0,1,11.5,1.0,31,49,18.5,1,0,1,0
8.0,81.0,1,11.5,-4.0,31,52,14.6,0,0,1,0
8.0,73.0,1,10.0,0.5,31,37,14.3,0,0,1,0
8.0,81.0,1,11.5,-2.5,31,51,13.6,0,0,1,0
13.0,73.0,1,7.0,2.0,32,31,21.7,1,1,1,0
9.0,81.0,1,12.0,-5.5,31,51,17.3,1,0,1,0
13.0,72.0,1,5.5,2.5,32,42,21.7,1,1,1,0
11.0,81.0,1,12.0,-9.0,31,56,19.6,1,0,1,0
12.0,70.0,1,5.0,2.0,31,53,20.4,1,0,1,0
9.0,81.0,1,11.5,-8.0,31,59,18.0,1,0,1,0
9.0,71.0,1,7.5,1.5,26,34,19.5,1,0,1,0
9.0,81.0,1,11.0,-5.0,31,59,17.2,1,0,1,0
10.0,72.0,1,9.0,1.5,28,32,18.5,1,0,1,0
7.0,62.0,1,11.0,-6.5,18,64,22.2,1,0,0,0
7.0,55.0,1,12.5,-1.0,17,32,16.8,0,0,0,0
9.0,81.0,1,12.0,-2.5,31,46,14.5,0,1,0,0
6.0,72.0,1,13.0,-2.0,21,32,16.5,0,0,1,0
7.0,66.0,1,15.0,-4.5,19,27,16.8,0,0,1,0
15.0,81.0,1,12.0,-3.5,46,37,18.3,1,0,1,0
10.0,66.0,1,8.5,1.0,31,48,16.0,0,0,1,0
3.0,39.0,0,12.0,-5.0,9,34,16.8,0,0,1,0
2.0,36.0,0,11.0,0.5,7,29,11.4,0,0,1,0
3.0,81.0,0,11.5,-2.0,9,36,17.9,0,0,1,0
1.0,77.0,0,15.5,-0.5,6,25,9.4,0,0,1,0
8.0,76.0,0,12.5,-5.0,31,47,14.7,0,0,1,0
7.0,68.0,0,9.0,1.5,28,27,14.2,0,0,1,0
8.0,81.0,0,12.5,-2.0,31,52,13.7,0,0,1,0
2.0,73.0,0,20.5,-1.0,11,37,11.0,0,0,1,0
6.0,71.0,0,20.0,-2.5,25,58,13.5,0,0,1,0
7.0,81.0,0,13.5,2.5,31,60,13.4,0,0,1,0
7.0,74.0,0,21.0,-0.5,31,37,12.1,0,0,1,0
9.0,81.0,0,13.5,-8.0,31,52,15.8,0,1,1,0
13.0,72.0,0,6.0,1.5,31,36,22.8,1,1,1,0
-0.0,81.0,0,12.5,0.5,2,25,13.3,0,0,1,0
1.0,81.0,0,16.5,-3.5,3,33,15.5,0,0,1,0
5.0,80.0,0,12.5,-3.5,17,22,13.6,0,0,1,0
5.0,75.0,0,11.0,2.0,17,27,15.5,0,0,1,0
4.0,70.0,0,13.0,-6.0,17,35,13.5,0,0,1,0
6.0,66.0,0,11.5,7.0,17,29,16.1,0,0,1,0
6.0,61.0,0,13.5,-2.5,17,49,15.1,0,1,1,0
7.0,56.0,0,13.0,6.5,18,17,16.1,0,0,1,0
4.0,81.0,0,13.5,-4.0,17,57,14.5,0,0,1,0
5.0,77.0,0,13.0,2.0,11,43,21.7,0,0,0,0
4.0,72.0,0,18.0,-6.0,15,14,13.2,0,0,1,0
6.0,69.0,0,17.0,-7.5,17,53,15.9,1,1,1,0
6.0,63.0,0,13.0,0.5,18,19,17.1,0,0,1,0
4.0,58.0,0,14.0,-2.0,8,39,22.0,0,0,1,0
4.0,54.0,0,13.0,0.0,8,32,12.5,0,0,1,0
5.0,51.0,0,14.0,-3.5,17,36,14.2,0,1,1,0
7.0,46.0,0,13.0,1.0,18,7,21.4,0,1,1,0
4.0,81.0,0,14.0,-2.5,17,55,13.1,0,1,1,0
6.0,77.0,0,16.5,0.5,18,21,16.4,0,1,1,0
5.0,72.0,0,14.5,-6.5,17,55,13.7,0,1,1,0
3.0,63.0,0,16.0,0.0,13,30,9.3,0,0,1,0
5.0,60.0,0,14.0,-5.0,17,56,13.6,0,1,1,0
9.0,56.0,0,15.0,4.5,23,14,16.8,0,0,1,0
5.0,48.0,0,14.5,-4.0,17,46,13.5,0,0,1,0
6.0,44.0,0,14.5,3.5,18,23,15.3,0,0,1,0
2.0,38.0,0,15.5,3.0,7,9,18.4,0,1,1,0
2.0,81.0,0,15.0,5.0,6,17,15.0,0,0,1,0
4.0,80.0,0,17.0,-0.5,17,37,13.5,0,0,1,0
5.0,73.0,0,23.5,0.5,16,24,15.4,0,0,1,0
3.0,68.0,0,18.0,2.0,17,36,12.7,0,1,1,0
5.0,64.0,0,16.5,2.5,18,18,15.0,0,0,1,0
5.0,59.0,0,18.0,-1.5,17,50,12.7,0,0,1,0
6.0,45.0,0,17.5,-1.0,18,29,15.1,0,0,1,0
4.0,69.0,0,18.0,-2.0,17,26,13.0,0,1,1,0
5.0,60.0,0,18.5,-1.0,17,43,12.3,0,1,1,0
7.0,55.0,0,18.0,3.5,18,17,17.6,0,0,1,0
4.0,48.0,0,18.5,-1.5,17,49,12.5,0,0,1,0
6.0,45.0,0,18.5,3.0,18,21,15.9,0,0,1,0
5.0,81.0,0,19.0,-1.0,17,48,13.0,0,1,1,0
7.0,77.0,0,18.5,2.0,29,28,12.6,0,0,1,0
4.0,70.0,0,19.0,-1.0,17,43,12.3,0,0,1,0
6.0,66.0,0,18.5,4.0,18,21,15.6,0,0,1,0
5.0,61.0,0,18.5,-0.5,17,37,12.2,0,0,1,0
5.0,56.0,0,18.5,1.0,18,33,13.5,0,0,1,0
5.0,51.0,0,19.0,-4.5,17,31,13.7,0,1,1,0
5.0,46.0,0,18.0,2.0,18,18,15.3,0,0,1,0
4.0,81.0,0,18.5,-4.0,17,43,12.4,0,0,1,0
8.0,78.0,0,19.0,-2.5,28,47,15.6,0,0,1,0
6.0,70.0,0,17.5,0.5,24,35,11.9,0,0,1,0
5.0,64.0,0,19.5,-2.0,18,28,14.9,0,0,1,0
5.0,59.0,0,18.5,-4.5,17,47,14.4,0,0,1,0
7.0,54.0,0,17.5,0.5,18,23,14.8,0,0,1,0
3.0,48.0,0,18.5,-4.0,17,51,11.6,0,0,1,0
3.0,40.0,0,21.0,1.0,9,11,15.8,0,0,1,0
5.0,81.0,0,18.5,0.0,17,23,12.5,0,0,1,0
5.0,76.0,0,19.0,2.0,18,54,15.1,0,0,1,0
4.0,71.0,0,18.5,1.0,17,39,12.6,0,0,1,0
6.0,67.0,0,19.5,4.5,23,22,14.6,0,0,1,0
5.0,61.0,0,19.0,-2.5,17,44,12.4,0,0,1,0
5.0,55.0,0,17.0,4.0,18,28,15.1,0,0,1,0
4.0,50.0,0,19.5,-1.5,17,45,11.0,0,0,1,0
4.0,46.0,0,20.0,6.5,18,23,13.9,0,0,1,0
5.0,42.0,0,19.5,-0.5,17,44,11.6,0,0,1,0
3.0,35.0,0,21.5,1.5,11,51,10.4,0,0,1,0
5.0,81.0,0,19.0,-1.0,17,25,12.7,0,0,1,0
5.0,76.0,0,20.0,0.0,18,29,13.5,0,0,1,0
5.0,72.0,0,19.5,-4.5,17,28,13.3,0,0,1,0
6.0,55.0,0,19.5,-3.0,17,39,12.7,0,1,1,0
5.0,50.0,0,19.5,0.5,18,23,15.2,0,0,1,0
5.0,45.0,0,19.5,-3.5,17,42,12.2,0,0,1,0
